miRNA,miRNA_LAR_logFC,RNA,mRNA_log2FC,p_val,p_val_adj,cohensd,inverse_direction
mmu-miR-132-3p,-1.57868956080955,Mmp9,3.29606085370408,0.857142857142857,0.991015946725058,0.870677452154104,TRUE
mmu-miR-132-3p,-1.57868956080955,Mapt,1.58659709806573,0.0571428571428571,0.961507551614244,2.21442447932436,TRUE
mmu-miR-132-3p,-1.57868956080955,Rfx4,1.88559135348339,0.628571428571429,0.987722567287785,0.952997996375801,TRUE
mmu-miR-34a-5p,0.213486971187753,Prex2,1.97822463572646,0.114285714285714,0.961507551614244,1.60850110149388,FALSE
mmu-miR-34a-5p,0.213486971187753,Shisa7,-2.37370578157293,0.228571428571429,0.961507551614244,1.37770577406089,TRUE
mmu-miR-34a-5p,0.213486971187753,Tbc1d2,3.4286464661517,0.0987286478948249,0.961507551614244,1.84842179265283,FALSE
