target_set,n_targets_in_mRNA,median_target_log2FC,mean_target_log2FC,proportion_targets_up,median_nontarget_log2FC,wilcoxon_one_sided_p,permutation_mean_p
functional_validated,121,1.94313230924632,1.67478026092632,0.84297520661157,1.69567888409327,0.000360501193021721,0.0005999400059994
targetscan_conserved_top20pct,79,1.78659913648622,1.15251928949165,0.721518987341772,1.71667680792517,0.231645575803707,0.243075692430757
either,191,1.88352033916848,1.42314569825305,0.785340314136126,1.6976473236671,0.00338979054376657,0.0023997600239976
